,Enzyme Common Name,,EnzymeId
13296,glucose-6-phosphate dehydrogenase activity,primary,579
13297,binding,primary,
13298,ORF,primary,
13299,G-protein coupled receptor activity//taste receptor activity,primary,
13300,ORF,primary,
13301,ORF,primary,
13302,ORF,primary,
13303,DNA binding,primary,
13304,polypeptide N-acetylgalactosaminyltransferase activity,primary,678
13305,ORF,primary,
13306,cyclin-dependent protein kinase regulator activity//general RNA polymerase II transcription factor activity,primary,
13307,ORF,primary,
13308,cysteine protease inhibitor activity,primary,
13309,ORF,primary,
13310,ORF,primary,
13311,ORF,primary,
13312,elastase activity,primary,1328
13313,ORF,primary,
13314,secondary active monocarboxylate transmembrane transporter activity,primary,
13315,ORF,primary,
13316,ORF,primary,
13317,water channel activity,primary,
13318,ORF,primary,
13319,nucleotide binding//protein binding//mRNA binding//nucleic acid binding,primary,
13320,double-stranded DNA binding//zinc ion binding,primary,
13321,aldehyde reductase activity,primary,610
13322,ATPase activity,primary,641
13323,G-protein coupled photoreceptor activity,primary,
13324,ORF,primary,
13325,peptidyl-prolyl cis-trans isomerase activity,primary,366
13326,single-stranded DNA binding,primary,
13327,chitin binding,primary,
13328,microtubule binding//protein binding//actin binding//zinc ion binding,primary,
13329,ORF,primary,
13330,binding,primary,
13331,ORF,primary,
13332,ORF,primary,
13333,ORF,primary,
13334,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338
13335,ORF,primary,
13336,ligand-dependent nuclear receptor activity//sequence-specific DNA binding//transcription factor activity//steroid hormone receptor activity//zinc ion binding,primary,
13337,ORF,primary,
13338,protein binding,primary,
13339,ORF,primary,
13340,calcium ion binding,primary,
13341,tRNA-specific adenosine deaminase activity,primary,
13342,ORF,primary,
13343,ATP-dependent RNA helicase activity,primary,641
13344,ORF,primary,
13345,phosphoric monoester hydrolase activity,primary,
13346,protein serine/threonine kinase activity,primary,1468
13347,ORF,primary,
13348,ATP-dependent helicase activity,primary,641
13349,hydrolase activity,primary,
13350,structural constituent of ribosome,primary,
13351,ORF,primary,
13352,ORF,primary,
13353,zinc ion binding//nucleic acid binding,primary,
13354,ORF,primary,
13355,protein serine/threonine kinase activity,primary,1451
13356,phosphoribosylamine-glycine ligase activity,primary,1351
13357,ORF,primary,
13358,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity,primary,1472
13359,"ATPase activity, coupled",primary,641
13360,oxygen transporter activity,primary,
13361,general RNA polymerase II transcription factor activity,primary,
13362,water channel activity,primary,
13363,ORF,primary,
13364,"G-protein coupled receptor activity//peptide receptor activity, G-protein coupled//neuropeptide receptor activity",primary,
13365,ORF,primary,
13366,ORF,primary,
13367,binding,primary,
13368,sodium channel activity,primary,
13369,zinc ion binding,primary,
13370,ORF,primary,
13371,ORF,primary,
13372,transporter activity,primary,
13373,RNA-directed DNA polymerase activity,primary,1381
13374,ORF,primary,
13375,nucleotide binding//mRNA binding//nucleic acid binding,primary,
13376,zinc ion binding//nucleic acid binding,primary,
13377,hormone activity//neuropeptide hormone activity,primary,
13378,acyl-CoA dehydrogenase activity,primary,248
13379,ORF,primary,
13380,protein serine/threonine kinase activity,primary,1451
13381,hormone activity//protein heterodimerization activity,primary,
13382,protein binding,primary,
13383,binding//transmembrane transporter activity,primary,
13384,single-stranded DNA binding//transcription regulator activity,primary,
13385,zinc ion binding//nucleic acid binding,primary,
13386,zinc ion binding,primary,
13387,structural constituent of ribosome,primary,
13388,ORF,primary,
13389,procollagen-proline 4-dioxygenase activity,primary,833
13390,ORF,primary,
13391,ORF,primary,
13392,UDP-N-acetylglucosamine diphosphorylase activity,primary,516
13393,ORF,primary,
13394,ORF,primary,
13395,ORF,primary,
13396,ORF,primary,
13397,nucleotide binding//mRNA binding//nucleic acid binding,primary,
13398,ORF,primary,
13399,oxidoreductase activity//transition metal ion binding,primary,
13400,amine receptor activity//G-protein coupled receptor activity//rhodopsin-like receptor activity,primary,
13401,ORF,primary,
13402,zinc ion binding,primary,
13403,ORF,primary,
13404,structural constituent of chitin-based cuticle,primary,
13405,sequence-specific DNA binding//transcription factor activity//protein dimerization activity,primary,
13406,procollagen-proline 4-dioxygenase activity,primary,833
13407,ORF,primary,
13408,structural constituent of chitin-based cuticle//structural constituent of chitin-based larval cuticle,primary,
13409,"ATPase activity, coupled",primary,641
13410,protein serine/threonine kinase activity,primary,1451
13411,adenosylhomocysteinase activity,primary,444
13412,ORF,primary,
13413,axon guidance receptor activity//serine-type endopeptidase inhibitor activity//semaphorin receptor activity,primary,
13414,glucuronosyltransferase activity,primary,641
13415,ORF,primary,
13416,glutathione peroxidase activity,primary,650
13417,ORF,primary,
13418,proprotein convertase 2 activator activity,primary,
13419,ORF,primary,
13420,protein binding//translation regulator activity//RNA binding,primary,
13421,thiol-disulfide exchange intermediate activity,primary,
13422,ORF,primary,
13423,ORF,primary,
13424,ORF,primary,
13425,ORF,primary,
13426,nutrient reservoir activity,primary,
13427,Rab GTPase activator activity,primary,
13428,ethanolamine-phosphate cytidylyltransferase activity,primary,554
13429,ORF,primary,
13430,ORF,primary,
13431,structural constituent of ribosome,primary,
13432,oxidoreductase activity,primary,
13433,ORF,primary,
13434,diuretic hormone receptor activity,primary,
13435,ORF,primary,
13436,ORF,primary,
13437,ORF,primary,
13438,ORF,primary,
13439,ORF,primary,
13440,ORF,primary,
13441,structural constituent of chorion,primary,
13442,ORF,primary,
13443,ORF,primary,
13444,ORF,primary,
13445,sequence-specific DNA binding//specific RNA polymerase II transcription factor activity//transcription factor activity//zinc ion binding,primary,
13446,ORF,primary,
13447,ORF,primary,
13448,ORF,primary,
13449,protein binding//zinc ion binding,primary,
13450,chymotrypsin activity,primary,162
13451,structural constituent of ribosome,primary,
13452,ARF guanyl-nucleotide exchange factor activity,primary,
13453,pyridoxamine-phosphate oxidase activity,primary,657
13454,ORF,primary,
13455,ORF,primary,
13456,zinc ion binding//nucleic acid binding,primary,
13457,ORF,primary,
13458,actin binding//metal ion binding,primary,
13459,ORF,primary,
13460,ORF,primary,
13461,triacylglycerol lipase activity,primary,309
13462,ORF,primary,
13463,ORF,primary,
13464,protein serine/threonine kinase activity,primary,1451
13465,zinc ion binding//nucleic acid binding,primary,
13466,ORF,primary,
13467,DNA binding,primary,1384
13468,ORF,primary,
13469,ORF,primary,
13470,olfactory receptor activity//odorant binding,primary,
13471,calcium-independent phospholipase A2 activity,primary,218
13472,zinc ion binding//nucleic acid binding,primary,
13473,ORF,primary,
13474,ORF,primary,
13475,ORF,primary,
13476,exonuclease activity//nucleic acid binding,primary,
13477,ORF,primary,
13478,ORF,primary,
13479,ORF,primary,
13480,ORF,primary,
13481,ORF,primary,
13482,protein binding,primary,
13483,ORF,primary,
13484,ORF,primary,
13485,catalytic activity,primary,
13486,ORF,primary,
13487,isovaleryl-CoA dehydrogenase activity,primary,308
13488,structural constituent of chorion,primary,
13489,epoxide hydrolase activity,primary,1163
13490,ORF,primary,
13491,carboxylesterase activity,primary,1121
13492,ORF,primary,
13493,phospholipase A2 activity,primary,218
13494,structural constituent of ribosome,primary,
13495,ORF,primary,
13496,ORF,primary,
13497,ORF,primary,
13498,trehalose-phosphatase activity,primary,581
13499,ORF,primary,
13500,protein binding//diacylglycerol binding,primary,
13501,zinc ion binding//nucleic acid binding,primary,
13502,DNA binding,primary,
13503,ORF,primary,
13504,ORF,primary,
13505,ORF,primary,
13506,ORF,primary,
13507,serine-type endopeptidase inhibitor activity,primary,
13508,olfactory receptor activity//odorant binding,primary,
13509,carbonate dehydratase activity,primary,168
13510,peptidyl-prolyl cis-trans isomerase activity,primary,366
13511,ORF,primary,
13512,sugar binding//Gram-negative bacterial binding//galactose binding//receptor activity,primary,
13513,ORF,primary,
13514,ATPase activity,primary,641
13515,ORF,primary,
13516,IMP dehydrogenase activity,primary,1162
13517,ORF,primary,
13518,ORF,primary,
13519,ORF,primary,
13520,ORF,primary,
13521,microtubule binding,primary,
13522,ORF,primary,
13523,protein binding//zinc ion binding,primary,
13524,RNA-directed DNA polymerase activity,primary,1381
13525,transcription regulator activity//protein binding//chromatin binding//mRNA binding,primary,
13526,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,primary,
13527,trypsin activity,primary,823
13528,ORF,primary,
13529,unfolded protein binding,primary,
13530,glutamate-cysteine ligase activity,primary,869
13531,ORF,primary,
13532,ATP-dependent RNA helicase activity,primary,641
13533,ORF,primary,
13534,ORF,primary,
13535,receptor binding,primary,
13536,ORF,primary,
13537,transmembrane receptor activity//G-protein coupled receptor activity//cell adhesion molecule binding//receptor signaling protein activity//receptor activity//calcium ion binding,primary,
13538,dodecenoyl-CoA delta-isomerase activity,primary,562
13539,lysozyme activity,primary,249
13540,ORF,primary,
13541,ORF,primary,
13542,endopeptidase activity,primary,
13543,N-acetylglucosamine-6-sulfatase activity,primary,1279
13544,ORF,primary,
13545,ORF,primary,
13546,N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity,primary,462
13547,ORF,primary,
13548,glucose transmembrane transporter activity,primary,
13549,structural constituent of chitin-based cuticle//structural constituent of chitin-based larval cuticle,primary,
13550,ORF,primary,
13551,ORF,primary,
13552,ORF,primary,
13553,ORF,primary,
13554,ORF,primary,
13555,ORF,primary,
13556,DNA binding,primary,
13557,taste receptor activity,primary,
13558,ORF,primary,
13559,ORF,primary,
13560,snoRNA binding//protein binding,primary,
13561,ion channel activity,primary,
13562,enteropeptidase activity,primary,1355
13563,ORF,primary,
13564,zinc ion binding//nucleic acid binding,primary,
13565,serine-type endopeptidase activity,primary,
13566,phenylalanine 4-monooxygenase activity,primary,1261
13567,protein binding,primary,
13568,protein binding,primary,
13569,ORF,primary,
13570,binding//transmembrane transporter activity,primary,
13571,protein binding,primary,
13572,ORF,primary,
13573,ORF,primary,
13574,binding,primary,
13575,heat shock protein binding,primary,
13576,binding,primary,
13577,deoxyribose-phosphate aldolase activity,primary,241
13578,DNA binding,primary,
13579,transcription activator activity//RNA polymerase II transcription factor activity//transcription factor binding//zinc ion binding//nucleic acid binding,primary,
13580,ORF,primary,
13581,ORF,primary,
13582,zinc ion binding//nucleic acid binding,primary,
13583,ORF,primary,
13584,ORF,primary,
13585,ORF,primary,
13586,citrate transmembrane transporter activity,primary,
13587,ubiquitin thiolesterase activity,primary,1532
13588,ORF,primary,
13589,structural constituent of ribosome,primary,
13590,neprilysin activity,primary,211
13591,ORF,primary,
13592,endopeptidase activity,primary,
13593,GTPase activity,primary,1171
13594,protein serine/threonine kinase activity,primary,1451
13595,ORF,primary,
13596,N-acetyltransferase activity,primary,
13597,DNA binding,primary,
13598,endoribonuclease activity,primary,1451
13599,RNA polymerase II transcription mediator activity,primary,
13600,ORF,primary,
13601,G-protein coupled receptor activity//protein binding,primary,
13602,protein binding//zinc ion binding,primary,
13603,ORF,primary,
13604,"ATPase activity, coupled to transmembrane movement of substances",primary,641
13605,nucleotide binding//mRNA binding//RNA binding,primary,
13606,protein kinase CK2 activity,primary,1451
13607,histone acetyltransferase activity,primary,1459
13608,ORF,primary,
13609,membrane alanyl aminopeptidase activity,primary,1041
13610,unfolded protein binding//heat shock protein binding,primary,
13611,cAMP-dependent protein kinase activity,primary,1445
13612,electron carrier activity//heme binding//transition metal ion binding,primary,
13613,pyridoxamine-phosphate oxidase activity,primary,657
13614,binding//protein transporter activity,primary,
13615,"racemase and epimerase activity, acting on carbohydrates and derivatives",primary,
13616,ORF,primary,
13617,binding//catalytic activity,primary,
13618,ORF,primary,
13619,serine-type endopeptidase inhibitor activity,primary,
13620,calmodulin binding//diacylglycerol binding,primary,
13621,ORF,primary,
13622,glucuronosyltransferase activity,primary,527
13623,hormone activity,primary,
13624,protein binding,primary,
13625,glycine-tRNA ligase activity,primary,1430
13626,ORF,primary,
13627,ORF,primary,
13628,ATP binding,primary,1451
13629,ORF,primary,
13630,structural constituent of ribosome,primary,
13631,ORF,primary,
13632,transcription repressor activity//specific RNA polymerase II transcription factor activity//specific transcriptional repressor activity//protein binding//chromatin binding//zinc ion binding//nucleic acid binding,primary,
13633,ORF,primary,
13634,high affinity inorganic phosphate:sodium symporter activity,primary,
13635,trypsin activity,primary,823
13636,unfolded protein binding//chaperone binding,primary,
13637,ORF,primary,
13638,translation initiation factor activity//RNA binding//RNA cap binding,primary,
13639,polypeptide N-acetylgalactosaminyltransferase activity,primary,678
13640,ORF,primary,
13641,ORF,primary,
13642,unfolded protein binding,primary,
13643,transcription factor activity,primary,
13644,ORF,primary,
13645,endopeptidase inhibitor activity,primary,
13646,damaged DNA binding,primary,
13647,sequence-specific DNA binding//protein heterodimerization activity//RNA polymerase II transcription factor activity//transcription factor activity//protein dimerization activity//protein homodimerization activity,primary,
13648,structural constituent of chitin-based cuticle//structural constituent of chitin-based larval cuticle,primary,
13649,ORF,primary,
13650,ORF,primary,
13651,ORF,primary,
13652,ORF,primary,
13653,hydrolase activity,primary,
13654,ORF,primary,
13655,ORF,primary,
13656,zinc ion binding,primary,
13657,tropomyosin binding//actin binding,primary,
13658,ORF,primary,
13659,nucleotide binding//mRNA binding//nucleic acid binding,primary,
13660,ORF,primary,
13661,insulin receptor binding,primary,
13662,ORF,primary,
13663,ORF,primary,
13664,serine-type peptidase activity,primary,
13665,serine-type endopeptidase inhibitor activity,primary,
13666,ORF,primary,
13667,ORF,primary,
13668,ORF,primary,
13669,aconitate hydratase activity,primary,301
13670,protein kinase C binding,primary,1451
13671,metal ion transmembrane transporter activity,primary,
13672,ORF,primary,
13673,electron carrier activity//copper ion binding//zinc ion binding,primary,
13674,ORF,primary,
13675,"oxidoreductase activity, acting on the CH-CH group of donors",primary,
13676,ligand-dependent nuclear receptor activity//sequence-specific DNA binding//transcription factor activity//steroid hormone receptor activity//zinc ion binding,primary,
13677,ionotropic glutamate receptor activity//extracellular-glutamate-gated ion channel activity,primary,
13678,ORF,primary,
13679,binding,primary,
13680,cyclin-dependent protein kinase regulator activity,primary,
13681,binding,primary,
13682,asparagine synthase (glutamine-hydrolyzing) activity,primary,1001
13683,ORF,primary,
13684,ORF,primary,
13685,ORF,primary,
13686,ligand-dependent nuclear receptor activity//sequence-specific DNA binding//protein binding//transcription factor activity//steroid hormone receptor activity//receptor activity//zinc ion binding,primary,
13687,ORF,primary,
13688,ORF,primary,
13689,endopeptidase inhibitor activity//catalytic activity,primary,
13690,hydrolase activity//serine hydrolase activity,primary,
13691,ORF,primary,
13692,ORF,primary,
13693,nucleoside-triphosphatase activity,primary,669
13694,transcription factor activity,primary,
13695,G-protein coupled receptor activity,primary,
13696,transcription factor activity,primary,
13697,Rab GTPase activator activity,primary,
13698,ORF,primary,
13699,ubiquitin-protein ligase activity,primary,1480
13700,ORF,primary,
13701,calcium ion binding,primary,
13702,ORF,primary,
13703,serine hydrolase activity,primary,
13704,ORF,primary,
13705,peroxidase activity,primary,475
13706,ORF,primary,
13707,ORF,primary,
13708,zinc ion binding,primary,
13709,ORF,primary,
13710,ORF,primary,
13711,ORF,primary,
13712,ORF,primary,
13713,ORF,primary,
13714,ORF,primary,
13715,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor//transcription corepressor activity//protein binding//transcription coactivator activity//NAD binding//protein C-terminus binding",primary,
13716,RNA-directed DNA polymerase activity,primary,1381
13717,metallopeptidase activity//zinc ion binding//general RNA polymerase II transcription factor activity,primary,
13718,thiosulfate sulfurtransferase activity,primary,161
13719,structural constituent of cytoskeleton//ATP binding//actin binding,primary,
13720,ORF,primary,
13721,ORF,primary,
13722,ORF,primary,
13723,ORF,primary,
13724,ORF,primary,
13725,ORF,primary,
13726,glutathione transferase activity,primary,650
13727,GTPase activity,primary,1171
13728,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338
13729,taste receptor activity,primary,
13730,protein binding//structural molecule activity,primary,
13731,serine-type endopeptidase inhibitor activity,primary,
13732,neuropeptide receptor activity//tachykinin receptor activity,primary,
13733,ORF,primary,
13734,ORF,primary,
13735,ORF,primary,
13736,extracellular-glycine-gated chloride channel activity//chloride channel activity//neurotransmitter receptor activity//GABA-A receptor activity,primary,
13737,transporter activity,primary,
13738,protein binding,primary,
13739,ORF,primary,
13740,myosin I binding,primary,
13741,nucleotide binding//nucleic acid binding,primary,
13742,ORF,primary,
13743,ORF,primary,
13744,protein binding,primary,
13745,transporter activity//receptor binding,primary,
13746,ORF,primary,
13747,protease inhibitor activity//serine-type endopeptidase inhibitor activity,primary,
13748,microtubule motor activity//binding,primary,
13749,protein serine/threonine kinase activity,primary,1451
13750,nucleotide binding//nucleic acid binding,primary,
13751,ORF,primary,
13752,zinc ion binding//nucleic acid binding,primary,
13753,regulator of G-protein signaling activity,primary,
13754,ORF,primary,
13755,signal transducer activity,primary,
13756,electron carrier activity//transporter activity//copper ion binding//protease inhibitor activity,primary,
13757,triacylglycerol lipase activity,primary,309
13758,ORF,primary,
13759,protein binding//mRNA binding//RNA binding,primary,
13760,RNA polymerase II transcription mediator activity//protein binding//cyclin-dependent protein kinase regulator activity,primary,
13761,cyclin-dependent protein kinase regulator activity,primary,
13762,ribonuclease H activity,primary,1381
13763,axon guidance receptor activity,primary,
13764,binding//Ran GTPase binding//protein transporter activity,primary,
13765,ORF,primary,
13766,G-protein coupled receptor activity//rhodopsin-like receptor activity,primary,
13767,inorganic diphosphatase activity,primary,473
13768,RNA binding,primary,
13769,protein binding,primary,
13770,ORF,primary,
13771,ORF,primary,
13772,DNA binding//transcription factor activity,primary,
13773,protein serine/threonine kinase activity,primary,1451
13774,structural constituent of cytoskeleton//protein binding,primary,
13775,leucyl aminopeptidase activity,primary,1511
13776,dipeptidyl-peptidase IV activity,primary,980
13777,ORF,primary,
13778,guanyl-nucleotide exchange factor activity,primary,
13779,ionotropic glutamate receptor activity//extracellular-glutamate-gated ion channel activity//kainate selective glutamate receptor activity,primary,
13780,ORF,primary,
13781,olfactory receptor activity//odorant binding,primary,
13782,oxalyl-CoA decarboxylase activity,primary,1051
13783,phosphopantetheine binding//protein binding//transcription factor activity//zinc ion binding,primary,
13784,ORF,primary,
13785,transcription repressor activity//DNA binding//transcription activator activity//transcription factor activity,primary,
13786,heme transporter activity,primary,
13787,"delta5-delta2,4-dienoyl-CoA isomerase activity",primary,
13788,oxidoreductase activity,primary,
13789,transporter activity,primary,
13790,structural constituent of ribosome,primary,
13791,ORF,primary,
13792,neurotransmitter:sodium symporter activity,primary,
13793,taste receptor activity,primary,
13794,procollagen-proline 4-dioxygenase activity,primary,833
13795,ORF,primary,
13796,amino acid transmembrane transporter activity,primary,
13797,G-protein coupled receptor activity//neuropeptide receptor activity//protein binding//protein-hormone receptor activity,primary,
13798,zinc ion binding//nucleic acid binding,primary,
13799,RNA polymerase II transcription factor activity//zinc ion binding//nucleic acid binding,primary,
13800,ORF,primary,
13801,structural constituent of ribosome//translation initiation factor activity,primary,
13802,ORF,primary,
13803,sequence-specific DNA binding//DNA binding//specific RNA polymerase II transcription factor activity//transcription factor activity,primary,
13804,ORF,primary,
13805,ORF,primary,
13806,ORF,primary,
13807,structural constituent of ribosome,primary,
13808,ORF,primary,
13809,phosphatidylethanolamine binding,primary,
13810,beta-glucuronidase activity,primary,251
13811,leucyl aminopeptidase activity,primary,1511
13812,sodium channel activity,primary,
13813,nucleotide binding//nucleic acid binding,primary,
13814,DNA-dependent ATPase activity,primary,641
13815,ORF,primary,
13816,binding,primary,
13817,SH3/SH2 adaptor activity,primary,
13818,ORF,primary,
13819,unfolded protein binding//heat shock protein binding//chaperone binding,primary,
13820,trypsin activity,primary,823
13821,potassium channel activity,primary,
13822,glutathione transferase activity,primary,650
13823,ORF,primary,
13824,transcription factor activity,primary,
13825,sequence-specific DNA binding,primary,
13826,A-type (transient outward) potassium channel activity,primary,
13827,ORF,primary,
13828,ORF,primary,
13829,Ras GTPase binding,primary,
13830,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity",primary,335
13831,helicase activity//nucleotide binding//mRNA binding//nucleic acid binding,primary,
13832,DNA binding//chromatin binding,primary,
13833,ORF,primary,
13834,serine/threonine phosphatase,primary,1547
13835,ORF,primary,
13836,heme binding//transition metal ion binding,primary,
13837,ORF,primary,
13838,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338
13839,transmembrane receptor activity//binding,primary,
13840,ORF,primary,
13841,ORF,primary,
13842,electron carrier activity//heme binding//protein binding//monooxygenase activity//iron ion binding,primary,
13843,acyl-CoA binding,primary,
13844,enoyl-CoA hydratase activity,primary,193
13845,ORF,primary,
13846,protein serine/threonine kinase activity,primary,1488
13847,ORF,primary,
13848,ORF,primary,
13849,NADH dehydrogenase activity,primary,1214
13850,ORF,primary,
13851,receptor activity//cell adhesion molecule binding//calcium ion binding,primary,
13852,ORF,primary,
13853,RNA polymerase II transcription factor activity//transcription factor activity//protein homodimerization activity,primary,
13854,protein binding//zinc ion binding,primary,
13855,SH3/SH2 adaptor activity//zinc ion binding,primary,
13856,zinc ion binding//nucleic acid binding,primary,
13857,ubiquitin-protein ligase activity,primary,1480
13858,ORF,primary,
13859,cation channel activity,primary,
13860,ORF,primary,
13861,ORF,primary,
13862,calcium ion binding,primary,
13863,ORF,primary,
13864,"3'(2'),5'-bisphosphate nucleotidase activity",primary,602
13865,ORF,primary,
13866,ubiquitin-protein ligase activity,primary,1480
13867,ubiquitin-protein ligase activity,primary,1480
13868,protein binding,primary,
13869,zinc ion binding,primary,
13870,protein serine/threonine kinase activity,primary,1451
13871,ORF,primary,
13872,ORF,primary,
13873,methyltransferase activity,primary,
13874,ORF,primary,
13875,ORF,primary,
13876,protein kinase activity,primary,1451
13877,ORF,primary,
13878,procollagen-proline 4-dioxygenase activity,primary,833
13879,ORF,primary,
13880,ORF,primary,
13881,retinal binding,primary,
13882,glutathione transferase activity,primary,650
13883,ORF,primary,
13884,ORF,primary,
13885,ATP binding//casein kinase I activity,primary,
13886,protein transporter activity,primary,
13887,sequence-specific DNA binding//RNA polymerase II transcription factor activity//transcription factor activity,primary,
13888,ORF,primary,
13889,ORF,primary,
13890,GTPase activity,primary,1171
13891,sequence-specific DNA binding//protein binding//transcription factor activity,primary,
13892,ORF,primary,
13893,zinc ion binding,primary,
13894,microtubule binding//phosphatase inhibitor activity//protein binding,primary,
13895,"ATPase activity, coupled to transmembrane movement of substances",primary,641
13896,guanyl-nucleotide exchange factor activity,primary,
13897,protein kinase activity,primary,1451
13898,phosphoribosylaminoimidazole carboxylase activity,primary,1206
13899,protein binding,primary,
13900,ubiquitin-protein ligase activity,primary,1480
13901,olfactory receptor activity//odorant binding//sugar:hydrogen symporter activity,primary,
13902,transposase activity//DNA binding,primary,
13903,ORF,primary,
13904,dipeptidyl-peptidase IV activity,primary,980
13905,ORF,primary,
13906,ORF,primary,
13907,ORF,primary,
13908,ORF,primary,
13909,ubiquitin-protein ligase activity,primary,1480
13910,DNA binding,primary,
13911,voltage-gated calcium channel activity,primary,
13912,binding//UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity,primary,
13913,transporter activity,primary,
13914,DNA binding//zinc ion binding,primary,
13915,DNA binding,primary,
13916,ORF,primary,
13917,ORF,primary,
13918,ORF,primary,
13919,ORF,primary,
13920,ORF,primary,
13921,odorant binding,primary,
13922,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,primary,318
13923,DNA-directed RNA polymerase activity,primary,1393
13924,ORF,primary,
13925,translation elongation factor activity,primary,
13926,ORF,primary,
13927,ORF,primary,
13928,GTPase activity,primary,1171
13929,ORF,primary,
13930,protein serine/threonine kinase activity,primary,1451
13931,ORF,primary,
13932,transcription regulator activity//specific RNA polymerase II transcription factor activity//zinc ion binding//nucleic acid binding,primary,
13933,DNA binding,primary,
13934,ORF,primary,
13935,ORF,primary,
13936,ORF,primary,
13937,ORF,primary,
13938,ORF,primary,
13939,ORF,primary,
13940,ORF,primary,
13941,ORF,primary,
13942,calcium-independent phospholipase A2 activity,primary,218
13943,ORF,primary,
13944,ORF,primary,
13945,phenylalkylamine binding,primary,
13946,protein binding//zinc ion binding,primary,
13947,ORF,primary,
13948,protein binding//structural molecule activity//neurotransmitter transporter activity,primary,
13949,GTPase activity,primary,1171
13950,ORF,primary,
13951,ubiquitin-protein ligase activity,primary,1480
13952,ORF,primary,
13953,ORF,primary,
13954,transcription factor activity,primary,
13955,ORF,primary,
13956,ORF,primary,
13957,ORF,primary,
13958,ORF,primary,
13959,ORF,primary,
13960,actin binding//ligand-dependent nuclear receptor binding//thyroid hormone receptor binding//zinc ion binding,primary,
13961,protein binding,primary,
13962,ORF,primary,
13963,ORF,primary,
13964,ORF,primary,
13965,"ATPase activity, coupled to transmembrane movement of substances",primary,641
13966,zinc ion binding//nucleic acid binding,primary,
13967,ORF,primary,
13968,catalytic activity//iron-sulfur cluster binding,primary,
13969,low-density lipoprotein receptor activity//protein binding//Wnt receptor activity,primary,
13970,1-pyrroline-5-carboxylate dehydrogenase activity,primary,124
13971,ORF,primary,
13972,3'-5' exonuclease activity//nucleic acid binding,primary,
13973,taste receptor activity,primary,
13974,MAP kinase kinase activity,primary,
13975,RNA polymerase II transcription mediator activity//protein binding,primary,
13976,ORF,primary,
13977,DNA binding//protein binding//transcription factor activity,primary,
13978,ORF,primary,
13979,ORF,primary,
13980,protein binding,primary,
13981,ORF,primary,
13982,hormone activity//insulin receptor binding,primary,
13983,serine-type endopeptidase activity,primary,
13984,adenosine deaminase activity,primary,115
13985,ORF,primary,
13986,prolyl oligopeptidase activity,primary,1005
13987,protein serine/threonine kinase activity,primary,1451
13988,ORF,primary,
13989,electron carrier activity//FAD binding,primary,
13990,ORF,primary,
13991,carboxypeptidase A activity,primary,1442
13992,ORF,primary,
13993,binding//catalytic activity,primary,
13994,isocitrate dehydrogenase (NAD+) activity,primary,194
13995,phosphoprotein phosphatase activity,primary,1547
13996,aldehyde reductase activity,primary,610
13997,SNAP receptor activity,primary,
13998,tRNA methyltransferase activity,primary,
13999,ORF,primary,
14000,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,primary,
14001,structural constituent of chitin-based cuticle,primary,
14002,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,870
14003,ORF,primary,
14004,GTPase activator activity,primary,1194
14005,myosin light chain binding//cAMP-dependent protein kinase regulator activity,primary,
14006,structural constituent of ribosome,primary,
14007,hexokinase activity,primary,209
14008,ORF,primary,
14009,disulfide oxidoreductase activity,primary,
14010,ORF,primary,
14011,ORF,primary,
14012,trypsin activity,primary,823
14013,sodium:phosphate symporter activity,primary,
14014,binding//transmembrane transporter activity,primary,
14015,protein tyrosine kinase activity,primary,
14016,binding,primary,
14017,NADH dehydrogenase activity,primary,1214
14018,serine-type peptidase activity,primary,
14019,serine-type endopeptidase activity,primary,
14020,cytochrome P-450cam,primary,
14021,damaged DNA binding//nucleotide binding,primary,
14022,ORF,primary,
14023,ORF,primary,
14024,ORF,primary,
14025,protein binding//transcription factor activity//protein homodimerization activity//zinc ion binding,primary,
14026,binding,primary,
14027,dihydrolipoyl dehydrogenase activity,primary,1102
14028,histone acetyltransferase activity,primary,1459
14029,ionotropic glutamate receptor activity//alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity//extracellular-glutamate-gated ion channel activity,primary,
14030,ORF,primary,
14031,acid phosphatase activity,primary,
14032,translation elongation factor activity,primary,
14033,proton-dependent oligopeptide secondary active transmembrane transporter activity,primary,
14034,ORF,primary,
14035,ORF,primary,
14036,ORF,primary,
14037,ORF,primary,
14038,ORF,primary,
14039,ARF guanyl-nucleotide exchange factor activity,primary,
14040,serine-type endopeptidase inhibitor activity,primary,
14041,stearoyl-CoA 9-desaturase activity,primary,1481
14042,SNAP receptor activity,primary,
14043,ORF,primary,
14044,ORF,primary,
14045,ORF,primary,
14046,acyl-CoA N-acyltransferase activity,primary,342
